p0 (For observed curve),n_qc_max (For observed curve),p0(For analytic curve),n_qc_max (For analytic curve)
,,2.049429885977e-10,2.169660262583e-01
,,2.050030006001e-10,2.182152285482e-01
,,2.050630126025e-10,2.194558521530e-01
,,2.051230246049e-10,2.206880436809e-01
,,2.051830366073e-10,2.219119455081e-01
,,2.052430486097e-10,2.231276959495e-01
,,2.053030606121e-10,2.243354294200e-01
,,2.053630726145e-10,2.255352765879e-01
,,2.054230846169e-10,2.267273645206e-01
,,2.054830966193e-10,2.279118168226e-01
,,2.055431086217e-10,2.290887537677e-01
,,2.056031206241e-10,2.302582924240e-01
,,2.056631326265e-10,2.314205467730e-01
,,2.057231446289e-10,2.325756278233e-01
,,2.057831566313e-10,2.337236437192e-01
,,2.058431686337e-10,2.348646998434e-01
,,2.059031806361e-10,2.359988989157e-01
,,2.059631926385e-10,2.371263410873e-01
,,2.060232046409e-10,2.382471240299e-01
,,2.060832166433e-10,2.393613430223e-01
,,2.061432286457e-10,2.404690910317e-01
,,2.062032406481e-10,2.415704587923e-01
,,2.062632526505e-10,2.426655348805e-01
,,2.063232646529e-10,2.437544057865e-01
,,2.063832766553e-10,2.448371559831e-01
,,2.064432886577e-10,2.459138679914e-01
,,2.065033006601e-10,2.469846224441e-01
,,2.065633126625e-10,2.480494981459e-01
,,2.066233246649e-10,2.491085721314e-01
,,2.066833366673e-10,2.501619197211e-01
,,2.067433486697e-10,2.512096145744e-01
,,2.068033606721e-10,2.522517287412e-01
,,2.068633726745e-10,2.532883327111e-01
,,2.069233846769e-10,2.543194954606e-01
,,2.069833966793e-10,2.553452844990e-01
,,2.070434086817e-10,2.563657659116e-01
,,2.071034206841e-10,2.573810044023e-01
,,2.071634326865e-10,2.583910633337e-01
,,2.072234446889e-10,2.593960047663e-01
,,2.072834566913e-10,2.603958894962e-01
,,2.073434686937e-10,2.613907770907e-01
,,2.074034806961e-10,2.623807259238e-01
,,2.074634926985e-10,2.633657932091e-01
,,2.075235047009e-10,2.643460350328e-01
,,2.075835167033e-10,2.653215063844e-01
,,2.076435287057e-10,2.662922611869e-01
,,2.077035407081e-10,2.672583523262e-01
,,2.077635527105e-10,2.682198316785e-01
,,2.078235647129e-10,2.691767501380e-01
,,2.078835767153e-10,2.701291576424e-01
,,2.079435887177e-10,2.710771031988e-01
,,2.080036007201e-10,2.720206349075e-01
,,2.080636127225e-10,2.729597999859e-01
,,2.081236247249e-10,2.738946447913e-01
,,2.081836367273e-10,2.748252148426e-01
,,2.082436487297e-10,2.757515548419e-01
,,2.083036607321e-10,2.766737086953e-01
,,2.083636727345e-10,2.775917195322e-01
,,2.084236847369e-10,2.785056297253e-01
,,2.084836967393e-10,2.794154809088e-01
,,2.085437087417e-10,2.803213139967e-01
,,2.086037207441e-10,2.812231692005e-01
,,2.086637327465e-10,2.821210860458e-01
,,2.087237447489e-10,2.830151033889e-01
,,2.087837567514e-10,2.839052594331e-01
,,2.088437687538e-10,2.847915917437e-01
,,2.089037807562e-10,2.856741372631e-01
,,2.089637927586e-10,2.865529323254e-01
,,2.090238047610e-10,2.874280126707e-01
,,2.090838167634e-10,2.882994134585e-01
,,2.091438287658e-10,2.891671692811e-01
,,2.092038407682e-10,2.900313141763e-01
,,2.092638527706e-10,2.908918816404e-01
,,2.093238647730e-10,2.917489046399e-01
,,2.093838767754e-10,2.926024156234e-01
,,2.094438887778e-10,2.934524465332e-01
,,2.095039007802e-10,2.942990288163e-01
,,2.095639127826e-10,2.951421934353e-01
,,2.096239247850e-10,2.959819708791e-01
,,2.096839367874e-10,2.968183911727e-01
,,2.097439487898e-10,2.976514838874e-01
,,2.098039607922e-10,2.984812781506e-01
,,2.098639727946e-10,2.993078026550e-01
,,2.099239847970e-10,3.001310856678e-01
,,2.099839967994e-10,3.009511550396e-01
,,2.100440088018e-10,3.017680382132e-01
,,2.101040208042e-10,3.025817622318e-01
,,2.101640328066e-10,3.033923537474e-01
,,2.102240448090e-10,3.041998390287e-01
,,2.102840568114e-10,3.050042439689e-01
,,2.103440688138e-10,3.058055940934e-01
,,2.104040808162e-10,3.066039145667e-01
,,2.104640928186e-10,3.073992302005e-01
,,2.105241048210e-10,3.081915654598e-01
,,2.105841168234e-10,3.089809444703e-01
,,2.106441288258e-10,3.097673910246e-01
,,2.107041408282e-10,3.105509285892e-01
